qpid	desc
ZLC01G0025810	ERAD pathway
ZLC01G0025820	regulation of transcription by RNA polymerase II
ZLC01G0025840	defense response to other organism
ZLC01G0025850	ubiquitin-dependent protein catabolic process
ZLC01G0025850	cellular process
ZLC01G0025880	fatty acid biosynthetic process
ZLC01G0025910	green leaf volatile biosynthetic process
ZLC01G0025920	defense response to fungus
ZLC01G0026020	recognition of pollen
ZLC01G0026020	chromatin remodeling
ZLC01G0026030	snoRNA localization
ZLC01G0026030	box C/D snoRNP assembly
ZLC01G0026030	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
ZLC01G0026040	carbohydrate metabolic process
ZLC01G0026040	glucosinolate catabolic process
ZLC01G0026040	response to salt stress
ZLC01G0026050	carbohydrate metabolic process
ZLC01G0026050	S-glycoside catabolic process
ZLC01G0026050	glucosinolate metabolic process
ZLC01G0026050	response to salt stress
ZLC01G0026060	carbohydrate metabolic process
ZLC01G0026060	cellular process
ZLC01G0026080	carbohydrate metabolic process
ZLC01G0026080	cellular process
ZLC01G0026080	response to salt stress
ZLC01G0026080	glycosyl compound catabolic process
ZLC01G0026080	small molecule metabolic process
ZLC01G0026090	fucose metabolic process
ZLC01G0026090	cellular process
ZLC01G0026100	siroheme metabolic process
ZLC01G0026100	heme biosynthetic process
ZLC01G0026100	methylation
ZLC01G0026100	regulation of sulfate assimilation
ZLC01G0026100	regulation of nitrate assimilation
ZLC01G0026100	positive regulation of chlorophyll biosynthetic process
ZLC01G0026100	response to light stimulus
ZLC01G0026100	positive regulation of cellular process
ZLC01G0026100	cellular process
ZLC01G0026120	glutathione metabolic process
ZLC01G0026120	auxin-activated signaling pathway
ZLC01G0026120	toxin catabolic process
ZLC01G0026130	replication-born double-strand break repair via sister chromatid exchange
ZLC01G0026130	sister chromatid cohesion
ZLC01G0026130	megagametogenesis
ZLC01G0026130	pollen development
ZLC01G0026130	mitotic cell cycle
ZLC01G0026140	shoot apical meristem development
ZLC01G0026140	negative regulation of auxin mediated signaling pathway
ZLC01G0026140	anther dehiscence
ZLC01G0026150	transcription by RNA polymerase V
ZLC01G0026150	transcription by RNA polymerase IV
ZLC01G0026150	plastid transcription
ZLC01G0026150	mitochondrial transcription
ZLC01G0026150	transcription by RNA polymerase I
ZLC01G0026150	transcription by RNA polymerase III
ZLC01G0026150	transcription by RNA polymerase II
ZLC01G0026150	megagametogenesis
ZLC01G0026170	magnesium ion transmembrane transport
ZLC01G0026180	chaperone cofactor-dependent protein refolding
ZLC01G0026180	protein refolding
ZLC01G0026180	response to heat
ZLC01G0026180	synergid death
ZLC01G0026180	embryo sac cellularization
ZLC01G0026180	polar nucleus fusion
ZLC01G0026180	nuclear membrane fusion
ZLC01G0026190	organelle localization
ZLC01G0026190	mitochondrion organization
ZLC01G0026190	translational initiation
ZLC01G0026230	defense response
ZLC01G0026230	response to other organism
ZLC01G0026270	systemic acquired resistance
ZLC01G0026290	defense response
ZLC01G0026300	vesicle-mediated transport
ZLC01G0026320	regulation of transcription by RNA polymerase II
ZLC01G0026330	RNA splicing
ZLC01G0026330	mRNA processing
ZLC01G0026350	carbohydrate metabolic process
ZLC01G0026350	cellular process
ZLC01G0026360	nucleosome assembly
ZLC01G0026370	wobble position ribose methylation
ZLC01G0026370	cellular response to nitrogen starvation
ZLC01G0026380	defense response
ZLC01G0026380	response to other organism
ZLC01G0026390	DNA double-strand break processing involved in repair via single-strand annealing
ZLC01G0026430	protein ubiquitination
ZLC01G0026430	response to water deprivation
ZLC01G0026430	cellular process
ZLC01G0026430	response to osmotic stress
ZLC01G0026450	regulation of mRNA stability
ZLC01G0026500	protein ubiquitination
ZLC01G0026500	cellular process
ZLC01G0026550	protein polyubiquitination
ZLC01G0026550	cellular process
ZLC01G0026610	photosynthesis
ZLC01G0026620	regulation of DNA-templated transcription
ZLC01G0026620	primary root development
ZLC01G0026630	negative regulation of organ growth
ZLC01G0026630	protein ubiquitination
ZLC01G0026630	floral organ development
ZLC01G0026630	positive regulation of leaf senescence
ZLC01G0026630	negative regulation of cell population proliferation
ZLC01G0026630	cellular process
ZLC01G0026640	mitochondrial ADP transmembrane transport
ZLC01G0026640	mitochondrial ATP transmembrane transport
ZLC01G0026680	telomere maintenance via telomerase
ZLC01G0026690	proton motive force-driven ATP synthesis
ZLC01G0026690	proton transmembrane transport
ZLC01G0026690	oxidative phosphorylation
ZLC01G0026700	green leaf volatile biosynthetic process
ZLC01G0026700	regulation of secondary cell wall biogenesis
ZLC01G0026700	regulation of DNA-templated transcription
ZLC01G0026700	positive regulation of RNA biosynthetic process
ZLC01G0026730	citrate transport
ZLC01G0026730	xenobiotic transport
ZLC01G0026730	transmembrane transport
ZLC01G0026730	response to abscisic acid
ZLC01G0026730	cellular response to phosphate starvation
ZLC01G0026730	intracellular iron ion homeostasis
ZLC01G0026730	iron ion transport
ZLC01G0026740	translational elongation
ZLC01G0026740	chromatin remodeling
ZLC01G0026770	plant-type hypersensitive response
ZLC01G0026780	proteolysis
ZLC01G0026780	cellular process
ZLC01G0026780	biosynthetic process
ZLC01G0026800	cellulose biosynthetic process
ZLC01G0026800	cell wall organization
ZLC01G0026800	plant-type primary cell wall biogenesis
ZLC01G0026800	plant-type secondary cell wall biogenesis
ZLC01G0026810	positive regulation of DNA-templated transcription
ZLC01G0026810	regulation of transcription by RNA polymerase II
ZLC01G0026830	nucleotide-excision repair
ZLC01G0026830	regulation of transcription by RNA polymerase II
ZLC01G0026830	DNA-templated transcription
ZLC01G0026840	regulation of DNA-templated transcription
ZLC01G0026850	carotene catabolic process
ZLC01G0026850	xanthophyll catabolic process
ZLC01G0026860	carotene catabolic process
ZLC01G0026880	proton motive force-driven ATP synthesis
ZLC01G0026880	proton transmembrane transport
ZLC01G0026890	photosynthetic electron transport in photosystem II
ZLC01G0026900	photosynthetic electron transport in photosystem II
ZLC01G0026910	cell wall organization
ZLC01G0026910	carbohydrate metabolic process
ZLC01G0026910	fruit dehiscence
ZLC01G0026910	anther dehiscence
ZLC01G0026910	pollen sperm cell differentiation
ZLC01G0026910	macromolecule catabolic process
ZLC01G0026920	tRNA dihydrouridine synthesis
ZLC01G0026930	tRNA dihydrouridine synthesis
ZLC01G0026940	chromatin remodeling
ZLC01G0026940	regulation of transcription by RNA polymerase II
ZLC01G0026940	DNA recombination
ZLC01G0026940	methylation
ZLC01G0026940	DNA repair
ZLC01G0026940	tRNA dihydrouridine synthesis
ZLC01G0026940	positive regulation of DNA-templated transcription
ZLC01G0026940	DNA-templated transcription
ZLC01G0026950	pollen development
ZLC01G0026950	regulation of transcription by RNA polymerase II
ZLC01G0026960	regulation of cellular process
ZLC01G0026960	chromatin remodeling
ZLC01G0026960	regulation of signaling
ZLC01G0026960	regulation of response to stimulus
ZLC01G0026960	signaling
ZLC01G0026960	cell communication
ZLC01G0026960	cellular response to stimulus
ZLC01G0026960	regulation of RNA metabolic process
ZLC01G0026960	regulation of biosynthetic process
ZLC01G0026970	regulation of transcription by RNA polymerase II
ZLC01G0026980	root meristem specification
ZLC01G0026980	maintenance of shoot apical meristem identity
ZLC01G0026980	maintenance of root meristem identity
ZLC01G0026980	regulation of gene expression
ZLC01G0026980	regulation of RNA biosynthetic process
ZLC01G0026990	resolution of meiotic recombination intermediates
ZLC01G0026990	sister chromatid segregation
ZLC01G0026990	DNA topological change
ZLC01G0027010	defense response
ZLC01G0027010	response to other organism
ZLC01G0027010	chromatin remodeling
ZLC01G0027020	photosynthesis
ZLC01G0027030	zinc ion transmembrane transport
ZLC01G0027040	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
ZLC01G0027050	carbohydrate metabolic process
ZLC01G0027050	cellular process
ZLC01G0027080	proteolysis involved in protein catabolic process
ZLC01G0027080	cellular process
ZLC01G0027110	microtubule-based movement
ZLC01G0027150	polyamine catabolic process
ZLC01G0027150	cellular process
ZLC01G0027170	plant-type cell wall cellulose biosynthetic process
ZLC01G0027180	embryo development ending in seed dormancy
ZLC01G0027180	positive regulation of cell division
ZLC01G0027210	protein modification process
ZLC01G0027210	mRNA splicing, via spliceosome
ZLC01G0027230	steroid biosynthetic process
ZLC01G0027230	response to auxin
ZLC01G0027230	cellular process
ZLC01G0027240	steroid biosynthetic process
ZLC01G0027240	cellular process
ZLC01G0027250	intra-Golgi vesicle-mediated transport
ZLC01G0027250	protein transport
ZLC01G0027250	pollen tube growth
ZLC01G0027250	Golgi organization
ZLC01G0027270	rRNA processing
ZLC01G0027300	cellular response to light stimulus
ZLC01G0027300	regulation of DNA-templated transcription initiation
ZLC01G0027300	DNA-templated transcription initiation
ZLC01G0027310	regulation of transcription by RNA polymerase II
ZLC01G0027320	methylation
ZLC01G0027320	cellular process
ZLC01G0027330	double-strand break repair via homologous recombination
ZLC01G0027330	chromosome organization
ZLC01G0027330	cell cycle process
ZLC01G0027340	translation
ZLC01G0027350	proteolysis
ZLC01G0027350	cellular process
ZLC01G0027360	proteolysis
ZLC01G0027360	cellular process
ZLC01G0027390	proteolysis
ZLC01G0027390	cellular process
ZLC01G0027400	proteolysis
ZLC01G0027400	cellular process
ZLC01G0027400	regulation of cell wall pectin metabolic process
ZLC01G0027400	positive regulation of defense response to insect
ZLC01G0027400	response to wounding
ZLC01G0027400	positive regulation of gene expression
ZLC01G0027400	peptide metabolic process
ZLC01G0027400	defense response
ZLC01G0027400	catabolic process
ZLC01G0027410	proteolysis
ZLC01G0027410	cellular process
ZLC01G0027410	regulation of cell wall pectin metabolic process
ZLC01G0027410	positive regulation of defense response to insect
ZLC01G0027410	response to wounding
ZLC01G0027410	positive regulation of gene expression
ZLC01G0027410	peptide metabolic process
ZLC01G0027410	defense response
ZLC01G0027410	catabolic process
ZLC01G0027420	proteolysis
ZLC01G0027420	cellular process
ZLC01G0027420	regulation of cell wall pectin metabolic process
ZLC01G0027420	positive regulation of defense response to insect
ZLC01G0027420	response to wounding
ZLC01G0027420	positive regulation of gene expression
ZLC01G0027420	peptide metabolic process
ZLC01G0027420	defense response
ZLC01G0027420	catabolic process
ZLC01G0027430	proteolysis
ZLC01G0027430	cellular process
ZLC01G0027430	regulation of cell wall pectin metabolic process
ZLC01G0027430	positive regulation of defense response to insect
ZLC01G0027430	response to wounding
ZLC01G0027430	positive regulation of gene expression
ZLC01G0027430	peptide metabolic process
ZLC01G0027430	defense response
ZLC01G0027430	catabolic process
ZLC01G0027450	proteolysis
ZLC01G0027450	cellular process
ZLC01G0027450	regulation of cell wall pectin metabolic process
ZLC01G0027450	positive regulation of defense response to insect
ZLC01G0027450	response to wounding
ZLC01G0027450	positive regulation of gene expression
ZLC01G0027450	peptide metabolic process
ZLC01G0027450	defense response
ZLC01G0027450	catabolic process
ZLC01G0027460	proteolysis
ZLC01G0027460	cellular process
ZLC01G0027480	UDP-N-acetylglucosamine metabolic process
ZLC01G0027480	fructose 6-phosphate metabolic process
ZLC01G0027480	protein N-linked glycosylation
ZLC01G0027480	response to dithiothreitol
ZLC01G0027480	pollen wall assembly
ZLC01G0027480	response to endoplasmic reticulum stress
ZLC01G0027480	glutamine metabolic process
ZLC01G0027490	defense response
ZLC01G0027490	response to other organism
ZLC01G0027490	programmed cell death
ZLC01G0027490	immune response
ZLC01G0027490	cellular response to stress
ZLC01G0027520	transmembrane transport
ZLC01G0027540	embryo development ending in seed dormancy
ZLC01G0027540	response to water deprivation
ZLC01G0027550	regulation of intracellular signal transduction
ZLC01G0027550	chromatin remodeling
ZLC01G0027550	regulation of transcription by RNA polymerase II
ZLC01G0027560	cellulose biosynthetic process
ZLC01G0027560	cell wall organization
ZLC01G0027590	proteolysis
ZLC01G0027590	cellular process
ZLC01G0027600	proteolysis
ZLC01G0027600	cellular process
ZLC01G0027620	proteolysis
ZLC01G0027620	cellular process
ZLC01G0027630	proteolysis
ZLC01G0027630	cellular process
ZLC01G0027640	proteolysis
ZLC01G0027640	cellular process
ZLC01G0027650	proteolysis
ZLC01G0027650	cellular process
ZLC01G0027680	proteolysis
ZLC01G0027680	cellular process
ZLC01G0027700	positive regulation of transcription by RNA polymerase II
ZLC01G0027710	methylation
ZLC01G0027710	cellular process
ZLC01G0027710	biosynthetic process
ZLC01G0027730	COPII-coated vesicle cargo loading
ZLC01G0027730	endoplasmic reticulum organization
ZLC01G0027730	protein transport
ZLC01G0027760	double-strand break repair via homologous recombination
ZLC01G0027770	signal transduction
ZLC01G0027780	defense response to other organism
ZLC01G0027790	defense response
ZLC01G0027810	protein folding
ZLC01G0027810	photosynthesis
ZLC01G0027820	chlorophyll catabolic process
ZLC01G0027820	cellular process
ZLC01G0027860	defense response to other organism
ZLC01G0027890	defense response to other organism
ZLC01G0027910	telomere maintenance
ZLC01G0027930	glycerol-3-phosphate catabolic process
ZLC01G0027930	NADH oxidation
ZLC01G0027930	carbohydrate metabolic process
ZLC01G0027940	cytokinin metabolic process
ZLC01G0027940	alkaloid metabolic process
ZLC01G0027940	cellular process
ZLC01G0027960	alkaloid metabolic process
ZLC01G0027960	ferredoxin metabolic process
ZLC01G0027960	cellular process
ZLC01G0028000	defense response to other organism
ZLC01G0028000	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
ZLC01G0028000	cellular process
ZLC01G0028050	ribosomal small subunit assembly
ZLC01G0028050	translation
ZLC01G0028080	chlorophyll biosynthetic process
ZLC01G0028080	cellular process
ZLC01G0028090	RNA modification
ZLC01G0028090	cellular process
ZLC01G0028110	chlorophyll biosynthetic process
ZLC01G0028110	photosynthesis
ZLC01G0028130	chloroplast-nucleus signaling pathway
ZLC01G0028130	mitochondria-nucleus signaling pathway
ZLC01G0028130	cytokine-mediated signaling pathway
ZLC01G0028130	mitochondrion organization
ZLC01G0028130	RNA processing
ZLC01G0028150	response to abscisic acid
ZLC01G0028150	cellulose biosynthetic process
ZLC01G0028150	plant-type cell wall modification involved in multidimensional cell growth
ZLC01G0028150	regulation of plant-type cell wall cellulose biosynthetic process
ZLC01G0028150	plasmodesma organization
ZLC01G0028150	maintenance of root meristem identity
ZLC01G0028150	cellulose microfibril organization
ZLC01G0028150	unidimensional cell growth
ZLC01G0028150	response to glucose
ZLC01G0028150	cellular response to light stimulus
ZLC01G0028150	cell differentiation
ZLC01G0028160	glutamate biosynthetic process
ZLC01G0028170	protein deubiquitination
ZLC01G0028170	proteolysis
ZLC01G0028170	regulation of protein stability
ZLC01G0028170	cellular process
ZLC01G0028180	methylation
ZLC01G0028180	cellular process
ZLC01G0028190	mitotic DNA replication checkpoint signaling
ZLC01G0028190	mitotic G2 DNA damage checkpoint signaling
ZLC01G0028190	DNA replication initiation
ZLC01G0028190	female meiotic nuclear division
ZLC01G0028200	signal transduction
ZLC01G0028200	chromatin remodeling
ZLC01G0028210	positive regulation of mitotic recombination
ZLC01G0028210	positive regulation of cellular process
ZLC01G0028210	DNA repair
ZLC01G0028210	DNA duplex unwinding
ZLC01G0028210	DNA recombination
ZLC01G0028230	tRNA wobble uridine modification
ZLC01G0028230	tRNA methylation
ZLC01G0028240	cell division
ZLC01G0028240	ribosome biogenesis
ZLC01G0028240	proteolysis
ZLC01G0028250	mitotic intra-S DNA damage checkpoint signaling
ZLC01G0028250	resolution of meiotic recombination intermediates
ZLC01G0028250	double-strand break repair via break-induced replication
ZLC01G0028250	DNA catabolic process
ZLC01G0028260	defense response to other organism
ZLC01G0028260	regulation of innate immune response
ZLC01G0028260	chromatin remodeling
ZLC01G0028270	chromatin remodeling
ZLC01G0028270	methylation
ZLC01G0028300	proton motive force-driven ATP synthesis
ZLC01G0028300	proton transmembrane transport
ZLC01G0028310	proton motive force-driven ATP synthesis
ZLC01G0028440	rRNA processing
ZLC01G0028470	rescue of stalled ribosome
ZLC01G0028470	protein ubiquitination
ZLC01G0028480	rejection of self pollen
ZLC01G0028520	post-chaperonin tubulin folding pathway
ZLC01G0028520	tubulin complex assembly
ZLC01G0028530	auxin export across the plasma membrane
ZLC01G0028530	auxin polar transport
ZLC01G0028530	auxin-activated signaling pathway
ZLC01G0028530	endoplasmic reticulum to cytosol auxin transport
ZLC01G0028530	pollen development
ZLC01G0028540	auxin-activated signaling pathway
ZLC01G0028540	auxin export across the plasma membrane
ZLC01G0028540	auxin polar transport
ZLC01G0028570	protein targeting to membrane
ZLC01G0028580	protoporphyrinogen IX biosynthetic process
ZLC01G0028580	cellular process
ZLC01G0028580	chlorophyll biosynthetic process
ZLC01G0028600	meiotic cell cycle
ZLC01G0028610	late endosome to vacuole transport via multivesicular body sorting pathway
ZLC01G0028610	vesicle budding from membrane
ZLC01G0028640	ubiquinone biosynthetic process
ZLC01G0028640	response to UV-B
ZLC01G0028640	chlorophyll catabolic process
ZLC01G0028640	cytochrome complex assembly
ZLC01G0028640	cell wall organization
ZLC01G0028670	starch biosynthetic process
ZLC01G0028670	glycogen biosynthetic process
ZLC01G0028670	proteolysis
ZLC01G0028680	mRNA splicing, via spliceosome
ZLC01G0028680	response to high fluence blue light stimulus by blue high-fluence system
ZLC01G0028680	primary root development
ZLC01G0028680	regulation of photomorphogenesis
ZLC01G0028690	oxaloacetate metabolic process
ZLC01G0028690	asparagine metabolic process
ZLC01G0028690	glutamine metabolic process
ZLC01G0028690	malate metabolic process
ZLC01G0028700	regulation of glucose metabolic process
ZLC01G0028700	regulation of acetyl-CoA biosynthetic process from pyruvate
ZLC01G0028710	circadian rhythm
ZLC01G0028710	regulation of DNA-templated transcription
ZLC01G0028720	flavonoid biosynthetic process
ZLC01G0028720	methylation
ZLC01G0028720	cellular process
ZLC01G0028730	flavonoid biosynthetic process
ZLC01G0028730	methylation
ZLC01G0028730	cellular process
ZLC01G0028740	positive regulation of apoptotic process
ZLC01G0028740	response to wounding
ZLC01G0028740	protein phosphorylation
ZLC01G0028740	response to oxidative stress
ZLC01G0028740	cellular response to hypoxia
ZLC01G0028740	chromatin remodeling
ZLC01G0028740	defense response
ZLC01G0028780	green leaf volatile biosynthetic process
ZLC01G0028790	methylation
ZLC01G0028790	flavonoid biosynthetic process
ZLC01G0028790	cellular process
ZLC01G0028790	phenylpropanoid biosynthetic process
ZLC01G0028790	response to wounding
ZLC01G0028800	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
ZLC01G0028800	translation
ZLC01G0028820	monoatomic cation transmembrane transport
ZLC01G0028830	ribosome-associated ubiquitin-dependent protein catabolic process
ZLC01G0028830	rescue of stalled ribosome
ZLC01G0028880	mRNA splicing, via spliceosome
ZLC01G0028880	monoatomic cation transmembrane transport
ZLC01G0029020	regulation of DNA-templated transcription
ZLC01G0029030	acetyl-CoA biosynthetic process from pyruvate
ZLC01G0029040	acetyl-CoA biosynthetic process from pyruvate
ZLC01G0029050	acetyl-CoA biosynthetic process from pyruvate
ZLC01G0029060	regulation of DNA-templated transcription
ZLC01G0029060	regulation of cell cycle
ZLC01G0029070	RNA splicing
ZLC01G0029070	mRNA processing
ZLC01G0029080	cytoskeleton organization
ZLC01G0029090	translation
ZLC01G0029100	wax biosynthetic process
ZLC01G0029100	cutin biosynthetic process
ZLC01G0029100	long-chain fatty acid metabolic process
ZLC01G0029100	phenylpropanoid metabolic process
ZLC01G0029130	iron-sulfur cluster assembly
ZLC01G0029130	protein maturation by [4Fe-4S] cluster transfer
ZLC01G0029140	negative regulation of transcription by RNA polymerase II
ZLC01G0029140	chromatin remodeling
ZLC01G0029140	DNA repair
ZLC01G0029140	green leaf volatile biosynthetic process
ZLC01G0029140	methylation
ZLC01G0029150	coumarin biosynthetic process
ZLC01G0029150	response to molecule of fungal origin
ZLC01G0029150	gibberellin catabolic process
ZLC01G0029150	response to light stimulus
ZLC01G0029170	cell wall modification
ZLC01G0029170	pectin catabolic process
ZLC01G0029180	isoprenoid biosynthetic process
ZLC01G0029180	anthocyanin-containing compound biosynthetic process
ZLC01G0029180	saponin metabolic process
ZLC01G0029180	terpenoid metabolic process
ZLC01G0029200	monoatomic anion transport
ZLC01G0029200	monoatomic ion homeostasis
ZLC01G0029200	inorganic anion transport
ZLC01G0029200	transmembrane transport
ZLC01G0029230	response to water deprivation
ZLC01G0029230	response to abscisic acid
ZLC01G0029230	response to cold
ZLC01G0029230	response to salt stress
ZLC01G0029230	galactose metabolic process
ZLC01G0029230	response to heat
ZLC01G0029230	response to oxidative stress
ZLC01G0029230	cellular process
ZLC01G0029260	cell wall organization
ZLC01G0029260	carbohydrate metabolic process
ZLC01G0029270	chromatin remodeling
ZLC01G0029270	regulation of transcription by RNA polymerase II
ZLC01G0029270	signal transduction
ZLC01G0029320	translation
ZLC01G0029320	modification-dependent protein catabolic process
ZLC01G0029320	protein ubiquitination
ZLC01G0029330	tRNA methylation
ZLC01G0029350	tRNA methylation
ZLC01G0029360	steroid biosynthetic process
ZLC01G0029360	cellular process
ZLC01G0029370	platelet-derived growth factor receptor-alpha signaling pathway
ZLC01G0029370	platelet-derived growth factor receptor-beta signaling pathway
ZLC01G0029370	macrophage colony-stimulating factor signaling pathway
ZLC01G0029370	brain-derived neurotrophic factor receptor signaling pathway
ZLC01G0029370	hepatocyte growth factor receptor signaling pathway
ZLC01G0029370	Kit signaling pathway
ZLC01G0029370	insulin-like growth factor receptor signaling pathway
ZLC01G0029370	collagen-activated tyrosine kinase receptor signaling pathway
ZLC01G0029370	epidermal growth factor receptor signaling pathway
ZLC01G0029370	fibroblast growth factor receptor signaling pathway
ZLC01G0029370	ephrin receptor signaling pathway
ZLC01G0029370	chromatin remodeling
ZLC01G0029390	proton motive force-driven ATP synthesis
ZLC01G0029390	proton transmembrane transport
ZLC01G0029400	transcription by RNA polymerase V
ZLC01G0029400	transcription by RNA polymerase IV
ZLC01G0029400	plastid transcription
ZLC01G0029400	mitochondrial transcription
ZLC01G0029400	transcription by RNA polymerase I
ZLC01G0029400	transcription by RNA polymerase III
ZLC01G0029400	transcription by RNA polymerase II
ZLC01G0029410	photosynthetic electron transport in photosystem II
ZLC01G0029420	photosynthetic electron transport chain
ZLC01G0029430	cell wall modification
ZLC01G0029430	pectin catabolic process
ZLC01G0029440	cell wall modification
ZLC01G0029440	pectin catabolic process
ZLC01G0029470	DNA biosynthetic process
ZLC01G0029470	DNA replication
ZLC01G0029510	L-cysteine catabolic process to pyruvate
ZLC01G0029520	COPII-coated vesicle cargo loading
ZLC01G0029520	intracellular protein transport
ZLC01G0029520	pollen exine formation
ZLC01G0029520	anther wall tapetum development
ZLC01G0029530	protein import
ZLC01G0029530	protein targeting
ZLC01G0029530	intracellular protein transport
ZLC01G0029530	protein transmembrane transport
ZLC01G0029530	response to absence of light
ZLC01G0029530	trichome morphogenesis
ZLC01G0029530	regulation of photosynthesis
ZLC01G0029530	chloroplast organization
ZLC01G0029530	prolyl-tRNA aminoacylation
ZLC01G0029580	signal transduction
ZLC01G0029580	chromatin remodeling
ZLC01G0029590	chromatin remodeling
ZLC01G0029590	translational initiation
ZLC01G0029610	regulation of DNA-templated transcription
ZLC01G0029630	regulation of DNA-templated transcription
ZLC01G0029640	regulation of DNA-templated transcription
ZLC01G0029650	hydrogen peroxide catabolic process
ZLC01G0029650	cellular response to oxidative stress
ZLC01G0029650	cell redox homeostasis
ZLC01G0029650	cellular oxidant detoxification
ZLC01G0029660	negative regulation of reductive pentose-phosphate cycle
ZLC01G0029710	peroxisome fission
ZLC01G0029710	mitochondrial fission
ZLC01G0029710	autophagy of mitochondrion
ZLC01G0029750	proteolysis
ZLC01G0029750	cellular process
ZLC01G0029750	biogenic amine biosynthetic process
ZLC01G0029750	amino acid biosynthetic process
ZLC01G0029750	small molecule biosynthetic process
ZLC01G0029820	translational elongation
ZLC01G0029840	heterochromatin formation
ZLC01G0029840	methylation
ZLC01G0029840	regulation of short-day photoperiodism, flowering
ZLC01G0029840	callus formation
ZLC01G0029840	regulation of leaf senescence
ZLC01G0029840	vernalization response
ZLC01G0029840	response to abscisic acid
ZLC01G0029870	positive regulation of DNA-templated transcription
ZLC01G0029880	lysosomal transport
ZLC01G0029880	endocytic recycling
ZLC01G0029880	retrograde transport, endosome to Golgi
ZLC01G0029880	Golgi organization
ZLC01G0029880	Golgi vesicle transport
ZLC01G0029880	lipid transport
ZLC01G0029880	protein transport
ZLC01G0029890	double-strand break repair via break-induced replication
ZLC01G0029890	DNA strand elongation involved in DNA replication
ZLC01G0029890	DNA unwinding involved in DNA replication
ZLC01G0029890	DNA replication initiation
ZLC01G0029890	chromatin looping
ZLC01G0029890	chromatin remodeling
ZLC01G0029910	regulation of cell shape
ZLC01G0029910	cytoskeleton organization
ZLC01G0029910	regulation of transcription by RNA polymerase II
ZLC01G0029920	mismatch repair
ZLC01G0029930	protein ubiquitination
ZLC01G0029930	cellular process
ZLC01G0029940	intracellular protein transport
ZLC01G0029940	vesicle-mediated transport
ZLC01G0029940	regulation of COPII vesicle coating
ZLC01G0029940	vesicle organization
ZLC01G0029940	membrane organization
ZLC01G0029980	arabinan catabolic process
ZLC01G0029980	xylan catabolic process
ZLC01G0030030	transcription by RNA polymerase II
ZLC01G0030040	lipid metabolic process
ZLC01G0030040	cellular process
ZLC01G0030040	protein metabolic process
ZLC01G0030040	biosynthetic process
ZLC01G0030050	meristem maintenance
ZLC01G0030050	L-arginine biosynthetic process
ZLC01G0030070	green leaf volatile biosynthetic process
ZLC01G0030070	regulation of DNA-templated transcription
ZLC01G0030100	'de novo' CTP biosynthetic process
ZLC01G0030100	pyrimidine nucleobase biosynthetic process
ZLC01G0030100	glutamine metabolic process
ZLC01G0030150	defense response to other organism
ZLC01G0030160	heterochromatin formation
ZLC01G0030160	positive regulation of transcription by RNA polymerase II
ZLC01G0030170	methylation
ZLC01G0030170	cellular process
ZLC01G0030180	chromatin remodeling
ZLC01G0030180	regulation of transcription by RNA polymerase II
ZLC01G0030180	regulation of meristem structural organization
ZLC01G0030180	signal transduction
ZLC01G0030190	ATP transport
ZLC01G0030190	ADP transport
ZLC01G0030190	peroxisome organization
ZLC01G0030190	fatty acid beta-oxidation
ZLC01G0030190	transmembrane transport
ZLC01G0030190	indolebutyric acid metabolic process
ZLC01G0030190	seedling development
ZLC01G0030200	phospholipid homeostasis
ZLC01G0030200	plasma membrane organization
ZLC01G0030200	regulation of membrane lipid distribution
ZLC01G0030200	membrane assembly
ZLC01G0030220	starch biosynthetic process
ZLC01G0030220	glycogen biosynthetic process
ZLC01G0030230	chromatin looping
ZLC01G0030230	chromatin remodeling
ZLC01G0030240	MAPK cascade
ZLC01G0030240	cortical microtubule organization
ZLC01G0030240	cell plate assembly
ZLC01G0030240	defense response
ZLC01G0030260	ubiquitin-dependent protein catabolic process
ZLC01G0030260	protein ubiquitination
ZLC01G0030260	mitotic G2/M transition checkpoint
ZLC01G0030270	hydrogen peroxide catabolic process
ZLC01G0030270	cellular response to oxidative stress
ZLC01G0030270	cell redox homeostasis
ZLC01G0030270	cellular oxidant detoxification
ZLC01G0030310	protein neddylation
ZLC01G0030310	cellular process
ZLC01G0030330	regulation of DNA-templated transcription
ZLC01G0030350	regulation of transcription by RNA polymerase II
ZLC01G0030370	transmembrane transport
ZLC01G0030400	proteolysis
ZLC01G0030400	cellular process
ZLC01G0030410	proteolysis
ZLC01G0030410	cellular process
ZLC01G0030430	proteolysis
ZLC01G0030430	cellular process
ZLC01G0030440	secondary metabolic process
ZLC01G0030440	proteolysis
ZLC01G0030440	cellular process
ZLC01G0030450	proteolysis
ZLC01G0030450	cellular process
ZLC01G0030460	proteolysis
ZLC01G0030460	cellular process
ZLC01G0030480	proteolysis
ZLC01G0030480	cellular process
ZLC01G0030520	proteolysis
ZLC01G0030520	cellular process
ZLC01G0030540	proteolysis
ZLC01G0030540	cellular process
ZLC01G0030550	proteolysis
